session_num;query_num;click_item;rec_list;purchase
2;46555;100747;70095,30902,8627,51096,134850,10271,100747,74771,3146,10607,10657,10987,14974,80317,35606,136088,6090,36246,196110,47624; 0
2;46562;35606;70095,30902,8627,51096,134850,10271,100747,74771,3146,10607,10657,10987,14974,80317,35606,136088,6090,36246,196110,47624; 0
4;4;13931;46632,57465,79064,57748,6080,35997,47088,6078,79526,13663,13889,13931,90248,47296,6848,69167,47708,14889,80257,131616; 0
5;5;35472;27312,84626,12621,46209,5140,57539,5368,12923,35458,5504,46779,13064,35472,13381,36319,128733,6544,69276,36938,80192; 0
5;65;5140;27312,84626,12621,46209,5140,57539,5368,12923,35458,5504,46779,13064,35472,13381,36319,128733,6544,69276,36938,80192; 0
6;6;73191;20519,59225,26264,73191,73331,40988,2165,43303,140635,4052,11904,18956,16422,36950,90669,7361,7438,164667,25858; 0
7;7;40639;152,69920,59248,1941,40639,73816,32742,10276,58736,3541,34154,34965,68531,68529,5764,35717,6025,36087,79626,6502; 0
7;46456;59248;152,69920,59248,1941,40639,73816,32742,10276,58736,3541,34154,34965,68531,68529,5764,35717,6025,36087,79626,6502; 0
7;46794;73816;152,69920,59248,1941,40639,73816,32742,10276,58736,3541,34154,34965,68531,68529,5764,35717,6025,36087,79626,6502; 0
8;944500;11542;91036,37156,60,61,91096,7589,7590,110,58958,113,153,108166,202,80755,69992,70066,80918,48580,387,30415,48683,26199,451,59581,30519,59803,59851,134114,622,8104,30680,30681,30723,8173,81684,764,768,81691,30940,8359,918,31013,82091,8477,31053,49746,8487,1127,1178,8644,49979,8670,8675,39255,39328,39388,71936,1355,1356,50472,72156,8920,1523,31713,1749,83537,31895,1932,31936,40704,2006,32270,52022,84639,9992,41727,10114,22556,52504,2660,74270,32658,2738,2741,2825,85185,32767,22719,32866,32896,42329,3093,118013,33157,33487,23244,11296,11542,35015,18930,5560,7482,70333,9580,23105,70457,52626,468,17718,33457,65241,65674,33998,66058,4146,76982,18266,28425,18267,4248,4303,34374,11899,11900,77514,12143,12151,12217,12324,34839,88740,45802,67594,12488,78405,4998,35051,35179,89647,128364,35306,12890,89736,12927,19085,46730,5427,5442,24634,125997,35522,24738,46863,5654,5830,13327,39392,133486,79568,47136,68755,13668,164317,6184,36097,160797,13697,79577,36109,36110,90142,57945,6209,68774,90146,19616,68778,57953,79594,13775,13978,79707,136227,6464,36354,128747,36556,36476,69028,6626,58272,36650,36651,14607,47633,14606,7170,175950,20360; 0
10;10;5103;30139,162789,20914,38817,16000,240539,32249,116717,159940,10508,17907,3850,67032,67416,5103,18926,12989,47306,175755; 0
12;12;4168;8776,71995,8801,82769,1956,31955,83866,2008,9603,62977,2896,85766,87417,76890,4168,12220,46561,79218,6939,14623; 0
12;903118;1993;71935,8776,50284,31342,16108,31347,8780,16114,1351,31353,16120,39520,61268,39585,8801,82769,8803,8804,1390,9121,40168,72601,83686,1953,1955,1956,31952,1993,31954,31956,16573,51440,9471,83866,9473,124825,22112,2012,9603,2202,32259,9832,9833,62977,41310,2382,2510,84794,10236,10238,2811,27651,2896,10395,74748,17299,32909,75346,64551,10740,125263,3479,43158,140135,86263,10897,381750,23137,17952,86882,33861,87417,11600,44378,4111,44414,4129,87523,66130,148709,4168,4183,44508,55346,66358,77299,4370,11869,125557,4378,88021,28535,11920,66675,66689,11986,12000,4679,12220,193583,4764,266163,34858,46000,78536,35039,5031,12581,50305,181383,57043,89225,12713,35193,79002,82729,46654,35267,89704,5288,5291,35309,35370,125946,12975,13006,89783,35406,13069,19171,386941,79218,24674,89829,46806,13095,5567,79234,128434,175430,46821,247678,5576,135862,35519,135863,126006,35529,158413,248701,391480,5645,35578,13309,13310,13244,13302,13288,173269,13285,13287,400302,173281,35800,13377,135972,5867,79414,5895,35824,13396,135991,13412,5913,57889,128626,35868,47400,36545,6717,6587,36548,14247,36780,6909,79898,6939,90534,14464,25568,14498,69222,6998,25620,14579,58640,58642,171660,164686,173687; 0
13;13;3680;8383,53307,33037,3680,75971,86619,43548,34797,88665,12857,12862,79117,68387,36956,7095,7258,7270,7276,20316,7354; 0
13;32287;34797;8383,53307,33037,75971,86619,43548,34797,12857,12862,79117,46709,13360,90622,36956,7095,7258,7270,7276,20316,7354; 0
13;739663;14784;49510,162942,903,8383,82584,31281,39353,1280,1281,50154,8713,39360,8715,1287,114722,32775,42121,32778,10557,33034,53307,33037,3122,27802,42774,42775,10787,81952,75485,102045,3546,10965,54181,3616,3617,125321,3680,65211,75971,86619,54320,23296,11132,11135,43546,43548,155727,76046,54395,11200,11300,3902,76778,81827,81968,34797,88665,4860,4861,4863,12397,4989,67955,78803,5142,169271,12697,5155,18959,57347,24482,68144,268738,46504,68147,46508,261677,89555,57360,177170,130822,68297,133250,24552,12857,12862,162348,35308,79117,189804,258970,5321,5320,5332,135796,12892,24580,173204,24579,12893,24598,46709,5372,24610,24611,12948,29187,406448,397303,57545,35372,125940,12959,19100,5411,68387,24703,57623,5601,206168,925,158861,164241,46954,13360,35915,90284,36554,14194,36515,6697,69042,6999,19057,90602,181750,90622,14614,14622,36956,14626,126558,7095,80045,16822,126615,14767,14763,80131,7252,80135,7248,69392,136541,131521,58528,7249,80133,7250,58532,14770,58534,7258,14775,7270,14784,7271,20313,136552,25756,7276,20316,47750,69403,7277,58581,25769,129045,47794,7354,126694,177530,180265,203487,390225,378391,391620,376852,380065,379837,393131,379838,374959,380235,375750,375069,375755; 0
14;14;13931;7518,513,10229,33248,43851,11385,43999,34192,57465,6080,35997,6078,13889,13931,90248,47296,6526,171457,69167,20271; 0
15;15;19726;30674,93324,8202,1972,32037,2650,86259,135099,11064,11325,11374,87102,66186,198772,135801,169434,19726,126316,58223; 0
15;32580;19726;30674,93324,8202,1972,32037,2650,86259,135099,11064,11325,11374,87102,66186,198772,135801,169434,19726,126316,58223; 0
15;32654;58223;30674,93324,8202,1972,32037,2650,86259,135099,11064,11325,11374,87102,66186,198772,135801,169434,19726,126316,58223; 0
15;32674;135099;30674,93324,8202,1972,32037,2650,86259,135099,11064,11325,11374,87102,66186,198772,135801,169434,19726,126316,58223; 0
15;633559;151445;37161,48023,15097,166512,69853,129148,173805,37474,245,108450,48317,30476,92559,7976,20951,48824,38029,81303,571,70534,30557,234127,168295,30674,8129,70787,131809,8182,70863,93324,724,93347,8202,8203,38355,741,15649,49261,30793,30841,799,169875,110569,81972,145103,49540,60449,8375,49543,161283,110677,161286,237387,935,26509,15795,82081,1012,1056,1107,186915,82717,346188,337139,39976,72392,96259,26922,40153,62039,27075,161521,1897,1972,31938,163241,32037,132200,300968,32048,62543,341006,98683,32514,41821,257306,42048,117821,344256,3184,139929,53579,64477,274930,183907,86456,140251,244705,78468,28965,208800,12676,68302,58216,79786,58447,58451,51732,33328,33469,43326,54075,75726,86404,75734,147969,135099,65052,75833,54171,75834,65085,65092,11064,148096,132656,102714,33628,86670,102902,167371,54627,65514,11325,127871,11374,28228,11387,65691,3960,156102,4010,11593,127941,87489,121532,105259,11876,34398,167520,148987,66735,105697,4492,88434,247554,56454,4828,56563,78250,562218,142431,150078,198772,157895,167805,126043,35624,130960,19388,151445,128539,68580,169434,377780,29592,133570,36171,173390,25141,6287,164336,392490,19726,126316,232918,128843,126420,36612,374765,47459,36779,234009,69169,36778,162654,166411,133904,7440; 0
17;17;79898;82769,31853,83866,9603,41095,9832,62977,85766,44390,76890,4168,66358,77299,46654,35267,79218,57889,58244,36548,79898; 0
18;18;60727;81977,82055,979,8435,60727,82293,50111,39764,1524,31579,31589,83540,133001,67792,180068,57923,6160,69066,47646,7161; 0
18;158565;79565;110599,161275,892,893,894,166661,30938,30954,93965,911,30955,81977,8376,8426,974,38796,975,21303,979,8435,131871,38801,94156,38802,129372,124511,82087,60553,38827,110903,15819,8475,1036,1037,31052,200738,8478,21353,31083,31086,60686,1069,94420,60689,111086,82232,15873,94481,82249,60727,134250,82274,49840,82282,1095,129399,8558,82293,15899,94549,1116,15917,127008,60789,60790,71631,163030,50111,1255,61155,72000,50321,161390,1376,82771,16144,8818,82790,72059,129516,8845,31441,39764,1466,170039,153407,176342,21826,1623,31579,9088,31589,1633,124752,83540,40398,31841,166921,114089,174310,51813,51814,134646,129781,146977,2666,42216,134898,53084,32906,2998,53087,134899,17298,10581,163533,22974,10643,27980,50825,17713,1156,11144,17847,86803,76264,54695,9089,110803,15868,134259,39017,168423,1158,176250,71632,66044,28349,66063,202840,104308,50425,66117,18198,148702,11678,44499,172852,174169,4234,11732,11733,132840,127984,1364,8789,169087,130490,4493,375598,23938,28618,34627,67108,133001,34743,12406,78407,35046,67792,78635,12651,19309,160745,79440,35875,29421,151593,136001,35876,35877,35878,24966,36071,79565,180068,29548,213866,13653,57923,6160,6161,47126,133536,69066,25418,47646,131463,20248,133897; 0
18;345904;23840;49527,21268,60437,49552,38708,21274,30960,954,38806,60529,26506,15791,8439,60563,49678,82102,94212,8452,1003,31016,38857,38858,8455,110888,1010,110890,1011,60579,49706,82120,31027,15818,21331,60580,49709,38867,129382,71376,71378,26524,31030,8459,1018,134228,145188,1021,38872,38873,60584,71387,31032,15821,94255,8461,31034,129384,110927,94266,31037,180452,60593,31054,15846,1052,82203,71448,203706,169932,49790,8510,126993,31092,124545,21388,191077,8542,8548,1087,111218,39033,82310,1128,8595,60829,60831,1146,31166,8607,129470,39320,163032,31274,95174,1459,61467,61472,21787,9052,187209,9109,1689,129608,1690,1699,40297,83439,51049,187295,31744,40631,129707,124817,9521,16742,32951,147521,3291,3292,351597,9175,125251,75514,165518,3488,3505,11000,125328,54271,130184,23522,28311,18109,135286,28390,148749,135345,66474,44863,55732,34395,34401,23840,66860,56091,77688,12106,4676,34723,18711,125714,88765,200127,45882,12490,130712,12590,89313,125849,158032,12967,145543,145544,248048,167873,19381,153157,180036,207766,181541,21563,177264,126169,131067,13527,29464,24958,29465,35932,35933,35934,35931,200350,21508,136219,19789,6738,171433,131301,175838,178839,131383,210868,47544,128965,20265,20283,20284,20285,7264,58572; 0
18;562251;57923;110599,161275,892,893,894,166661,30938,30954,93965,911,30955,81977,8376,8426,974,38796,975,21303,979,8435,131871,38801,94156,38802,129372,124511,82087,60553,38827,110903,15819,8475,1036,1037,31052,200738,8478,21353,31083,31086,60686,1069,94420,60689,111086,82232,15873,94481,82249,60727,134250,82274,49840,82282,1095,129399,8558,82293,15899,94549,1116,15917,127008,60789,60790,71631,163030,50111,1255,61155,72000,50321,161390,1376,82771,16144,8818,82790,72059,129516,8845,31441,39764,1466,170039,153407,176342,21826,1623,31579,9088,31589,1633,124752,83540,40398,31841,166921,114089,174310,51813,51814,134646,129781,146977,2666,42216,134898,53084,32906,2998,53087,134899,17298,10581,163533,22974,10643,27980,50825,17713,1156,11144,17847,86803,76264,54695,9089,110803,15868,134259,39017,168423,1158,176250,71632,66044,28349,66063,202840,104308,50425,66117,18198,148702,11678,44499,172852,174169,4234,11732,11733,132840,127984,1364,8789,169087,130490,4493,375598,23938,28618,34627,67108,133001,34743,12406,78407,35046,67792,78635,12651,19309,160745,79440,35875,29421,151593,136001,35876,35877,35878,24966,36071,79565,180068,29548,213866,13653,57923,6160,6161,47126,133536,69066,25418,47646,131463,20248,133897; 0
20;20;123272;30072,30206,133997,111091,1483,9029,62084,161578,3299,23016,105612,123272,4104,44676,28733,4830,88779,46525,21784,36654; 0
22;22;6542;9338,43422,148030,11069,35097,128299,78987,13064,13187,35710,46941,68520,126159,13509,6542,79956,36885,7020,7010,14822; 0
22;676323;69210;10952,194069,5329,130838,125923,157908,128369,24574,266460,12886,150437,130836,142828,128368,133268,133269,142827,150442,150439,150438,150443,128902,131381,131380,418622,168078,375733,196203,196202,381354,201890,47548,131385,197610,69208,136414,209892,199022,199021,168080,201891,131386,168079,169554,196206,126496,47553,160957,389842,131388,418715,126495,181732,200438,210869,391703,393342,196205,200437,79922,47550,69205,197609,199020,169555,397313,131387,69207,69206,133761,392688,392194,126494,136413,126493,394828,58365,426693,427173,14482,381914,162635,131400,90548,390281,126502,171510,247866,426692,14480,47565,403780,131396,126500,423507,90550,234023,397819,396297,201895,14476,162632,58360,69213,397998,199025,196209,29911,197613,90547,252950,168088,47566,126503,58359,168083,69212,392837,387683,392910,162629,200439,90544,79925,391749,166354,126498,6976,164499,90541,406214,421461,427021,168084,379118,6975,395878,412619,166357,396193,427755,131395,128919,392317,391359,424418,399177,136417,398933,403933,131392,406145,209896,393343,58364,29912,199029,424038,196208,408655,395670,128914,162631,420419,6977,397362,168086,69210,168085,423803,79934,126504,131403,201896,396444,58366,383588,393632,427710,58372,90552,131401,196211,58367,90551,14483,420171,392776,426590,69216,6986,128922,426176,166360,128921,403034,426175,131406,90554,404186; 0
22;932476;58098;12621,46209,67846,78623,12646,46621,271526,266374,89663,171059,46624,271527,166021,142575,465137,142576,273660,162326,263973,142577,46625,35236,273661,166022,268787,12791,189713,125886,299265,89664,68247,142578,150215,282745,133233,157646,24517,29120,46626,57461,5230,142580,227685,157648,407674,263975,150216,209766,475176,280694,410298,397120,179940,406282,57463,79062,157649,185359,541898,185360,284693,427215,384394,390677,208823,440391,501445,426632,378571,268790,150222,35237,287093,396511,565482,157653,370672,390942,12794,423429,401701,437624,558411,424716,135754,384985,528838,89665,435938,524382,275721,519231,478630,388243,375280,275722,282748,423764,278134,565700,24519,472254,494265,417580,587771,522535,293356,271530,559726,519403,46633,157658,35238,142589,580410,255657,504606,193972,252758,275724,396068,436571,271535,150228,400301,177150,208824,157663,420815,79065,35239,142641,427396,541242,433391,368985,150274,418076,453120,150277,150276,275735,5256,128341,280720,368986,369843,247642,12925,57539,5368,12923,46715,5371,5384,171095,13045,35458,5504,46960,5898,57773,36315,13941,90259,128721,13938,58098,131212,6422,36319,13954,457652,396915,439181,200384,466604,425208,425528,198961,403972,68972,398284,131247,90345,25322,136251,466784,233970,177361,14081,403250,19892,69276,80192,47789; 0
24;47017;66200;59372,70255,8067,249203,162946,97663,98296,132566,75955,66200,34431,125595,79141,68352,35540,5709,136031,69065,14429,7188; 0
25;25;14895;72561,72562,54344,34157,18208,19479,13520,131066,6005,57835,126172,6078,13889,47296,36706,6848,14896,14895,7386; 0
28;130720;145213;216565,145182,110901,26522,1013,8456,186773,38868,60582,256475,26525,71379,287661,94244,186776,82126,137550,71384,152815,308965,60591,21337,129383,49715,145190,278699,211047,94262,1024,26530,26532,124525,1028,1029,94267,82136,71394,8463,345826,82137,371142,94272,1030,38881,71398,21342,269386,212141,38883,94275,166687,8465,31043,124527,182385,60604,216602,49730,60607,15830,94290,420912,152825,145201,111000,15843,111004,49766,31065,38922,111005,145213,1053,233199,152851,216676,1109,182448,176240,228357,111353,8616,129428,203726,137723,94737,152985,49976,238011,200782,182506,326679,82552,228431,334554,239290,209296,40350,134511,281460,40351,129639,9264,166887,187303,40362,355927,72917,114438,355967,114866,276817,114879,98152,351866,114966,84230,32194,99613,2667,74195,2669,52548,99771,267656,226824,298445,100808,306169,117422,117423,63998,127585,125128,64048,395537,180927,132492,360629,10772,43089,64863,244721,86479,179593,86480,75814,65067,11039,75816,43443,102553,288622,181051,76520,120297,11616,121104,77342,195755,34570,169140,297140,167644,585290,400790,324007,46011,377979,349654,197342,200153,195901,165976,289316,29072,162317,35694,166177,167923,128606,391970,162540,136216,58101,196121,413409,164444,169504,58254,80056,25674,168128,168131,382162,392449,126612,25764,133883; 0
28;937414;121104;216565,145182,110901,26522,1013,8456,186773,38868,60582,256475,26525,71379,287661,94244,186776,82126,137550,71384,152815,308965,60591,21337,129383,49715,145190,278699,211047,94262,1024,26530,26532,124525,1028,1029,94267,82136,71394,8463,345826,82137,371142,94272,1030,38881,71398,21342,269386,212141,38883,94275,166687,8465,31043,124527,182385,60604,216602,49730,60607,15830,94290,420912,152825,145201,111000,15843,111004,49766,31065,38922,111005,145213,1053,233199,152851,216676,1109,182448,176240,228357,111353,8616,129428,203726,137723,94737,152985,49976,238011,200782,182506,326679,82552,228431,334554,239290,209296,40350,134511,281460,40351,129639,9264,166887,187303,40362,355927,72917,114438,355967,114866,276817,114879,98152,351866,114966,84230,32194,99613,2667,74195,2669,52548,99771,267656,226824,298445,100808,306169,117422,117423,63998,127585,125128,64048,395537,180927,132492,360629,10772,43089,64863,244721,86479,179593,86480,75814,65067,11039,75816,43443,102553,288622,181051,76520,120297,11616,121104,77342,195755,34570,169140,297140,167644,585290,400790,324007,46011,377979,349654,197342,200153,195901,165976,289316,29072,162317,35694,166177,167923,128606,391970,162540,136216,58101,196121,413409,164444,169504,58254,80056,25674,168128,168131,382162,392449,126612,25764,133883; 0
28;941689;24619;5065,46217,171012,89261,12627,149936,5073,57093,46244,5082,78661,78662,89286,57108,46257,352647,12630,12631,5085,29022,89551,78953,251636,133203,35250,24619,13000,89813,133317,13061,389024,158177,35466,227730,89809,19152,143098,13062,158183,68403,35469,229772,57581,125969,79207,133319,381957,13065,185586,151083,13222,151085,24773,143511,29307,190134,19286,19287,128488,151086,151087,158597,29309,24774,35633,143517,35635,24776,13224,151088,13225,206179,128494,158636,158637,143560,79334,130967,13486,5973,90033,13491,19459,144089,68649,131056,68648,68647,144087,29447,13508,13509,90042,79481,68663,19481,180060,181588,13636,166189,375286,201775,164329,160813,160814,173385,13952,47279,47280,442368,58155,19876,128767,167995,58156,465140,388174,422706,210832,421505,14537,133786,69246,248859,126519,7040,386525,69248,396478,381104,200445,396402,20241,69333,196287,133896,80175,7302,14817,171636,375644,381927,376647,379514,379752,379156; 0
29;29;2042;70141,7859,20866,7861,15396,653,30696,60795,16000,2042,51981,9969,2537,84703,10028,43004,53746,36992,47853,23151; 0
32;32;35311;2828,49885,35311,79130,57526,79141,5449,35417,13014,5450,79178,5457,35495,5566,130323,79911,14894,25911,176017,176018; 0
32;33562;79130;2828,49885,35311,79130,57526,79141,5449,35417,13014,5450,79178,5457,35495,5566,130323,79911,14894,25911,176017,176018; 0
32;33825;3719;48359,124380,7974,639,708,725,768,15654,60992,39465,8848,33202,7481,45852,5491,46895,3719,6452,25516,58524; 0
32;33917;35311;2828,49885,35311,79130,57526,79141,5449,35417,13014,5450,79178,5457,35495,5566,130323,79911,14894,25911,176017,176018; 0
33;33;5450;2456,32420,63532,3015,75556,33382,10954,33475,35311,79130,5417,5414,35378,35416,13014,5450,13171,35988,13729,36775; 0
33;33962;63532;2456,32420,63532,3015,75556,33382,10954,33475,35311,79130,5417,5414,35378,35416,13014,5450,13171,35988,13729,36775; 0
33;325508;32142;38107,1481,32142,9672,2341,10382,31455,54043,175138,45875,56849,25094,79713,90390,20034,173643; 0
34;34;75611;915,8715,2871,33034,3122,17415,75611,54181,125321,34797,4991,5045,142476,19100,68387,14441,79911,126615,7250,58581; 0
35;35;66165;915,9051,127382,129909,10237,53009,27771,75611,23251,3962,65780,66165,18396,4434,130558,68398,9252,6074,206383,7093; 0
35;34079;59968;81533,38247,59968,208138,15980,15982,94834,153010,16002,1219,71748,39623,9051,31611,2692,33008,64999,65780,66165,7093; 0
35;594255;4145;21437,112948,39993,9051,202290,26925,61732,326851,31602,61763,83271,50877,129591,129597,206869,114112,205358,1945,16535,219488,40912,22183,97951,84043,73303,276793,262682,98079,16691,202380,16701,129765,172306,51887,170274,203952,16845,27416,2534,63229,187887,358069,406789,63503,17087,129909,74300,63630,129933,129934,176592,274785,204060,32800,117649,202584,125150,101046,117824,117825,75027,64275,168828,209477,75155,192543,168888,147855,192662,265532,132583,188357,197015,86471,197033,263320,54428,227123,205741,33788,120340,4079,330435,188842,207366,234663,23652,4145,28379,55297,66165,121197,179756,181200,175034,410292,291257,193447,184818,184819,184820,208705,378296,4548,227421,202949,554342,361446,403637,193457,205946,405425,268439,4593,211578,18600,202974,128108,149373,392767,207515,197272,4735,427127,376920,173025,413616,67336,34897,326110,389704,125861,200196,130777,397843,196164,206358,396398,6710,198980,378898,171427,169499,208951,207912,396147,416959,383943,442596,392314,203348,375730,392905,210838,204871,385613,397715,175765; 0
37;37;28580;13,403,92269,30485,59613,37901,30761,8549,1762,62898,63802,11479,34843,18741,47883,173983,201375,28580,4973,161014; 0
37;33700;62898;13,403,92269,30485,59613,37901,30761,8549,1762,62898,63802,11479,34843,18741,47883,173983,201375,28580,4973,161014; 0
37;34267;8549;13,403,92269,30485,59613,37901,30761,8549,1762,62898,63802,11479,34843,18741,47883,173983,201375,28580,4973,161014; 0
38;38;2062;69,563,15536,127092,16502,31961,161578,2062,40814,124898,17766,33913,66814,4830,88779,4912,4913,34934,19666,79612; 0
40;40;42;42,81457,49986,1189,9437,2142,62915,84485,24271,13635,47115,7464,9582,3489,33819,34818,5154,63041,58113,7222; 0
40;33641;80334;7492,108148,31082,61462,31773,40566,2142,80334,207898,133684,25680; 0
40;34061;80334;7492,108148,31082,61462,31773,40566,2142,80334,207898,133684,25680; 0
42;42;6308;4185,55594,34668,34738,45704,67698,19072,5520,13089,13326,13557,36013,36082,13803,6308,36609,6749,14276,90454,7100; 0
42;34027;55594;4185,55594,34668,34738,45704,67698,19072,5520,13089,13326,13557,36013,36082,13803,6308,36609,6749,14276,90454,7100; 0
43;43;71142;7790,177669,71142,110609,50338,129528,1837,32402,3717,11019,86620,104283,162137,78248,158581,58007,22271,36608,19944,69119; 0
43;469110;39471;153149,21549,95202,95205,50239,31321,206744,95223,82691,39471,211086,1329,95226,21558,1331,50254,195051,39513,50919,132208,9601,73304,176494,180726,209409,100351,404293,85528,329808,42613,27813,42647,155092,17450,10662,147606,33619,102686,86610,178388,76817,132806,163790,120977,105243,202946,141565,251261,12199,255303,162212,167848,19399,160735,210762,143855,158924,194559,151460,131019,133516,14232,14231,36568,164438,79807,203349,197580,19981,126406,128905,171499,25551,171501,6955,196201,164497,133760,391358,128910,36840,172323,162638,58377,14600,173632,379928,405655,393097,376971,377070,384921,389597,403299; 0
43;825577;34797;49510,8383,82584,31281,39353,1281,8713,39360,8715,1287,32775,176612,32778,10557,33034,53307,33037,27802,42774,10787,81952,3433,102045,3546,10965,54181,3616,3617,125321,3680,65211,75971,23296,11132,11135,43546,43548,155727,76046,54395,11200,11300,3902,81827,81968,34797,88665,4861,4863,12397,67955,78803,5142,169271,135702,12697,5155,18959,57347,24482,68144,268738,46504,68147,46508,261677,89555,57360,177170,130822,133250,24552,12857,12862,162348,35308,79117,189804,258970,5321,5320,5332,135796,12892,24580,173204,24579,12893,24598,5372,251925,24610,24611,12948,29187,406448,397303,57545,35372,89764,125940,68387,24703,57623,5601,206168,19218,19219,158861,164241,13360,35915,90284,36554,36515,6697,164434,69042,19057,181750,90622,29980,14614,14622,36956,14626,126558,7095,80045,126926,126615,14767,80131,7252,69390,131521,58528,7249,80133,7250,133874,58532,14770,58534,7258,14775,129007,7270,14784,7271,20313,7276,20316,47750,69403,7277,58581,25769,69421,164627,58615,129045,47794,7360,126659,7354,376946,126694,173672,177530,180265,20486,203487,176020,390225,374781,378391,391620,376852,380065,379837,381687,378498,402379,393131,380235,375750,376185,375069,382100,375755,376859,378238,375871,376301,377298; 0
44;44;73655;48332,93047,49806,8545,16068,31301,16474,97539,9518,9641,52006,73655,84405,16982,32496,42073,117176,58088,131219,374954; 0
